Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",30,26.1
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",56,28.0
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",43,30.7
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",27,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",4,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",4,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",23,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",23,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",234,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",14,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",22,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",18,(L)
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",114,19.4
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",28,40.4
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",24,28.8
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",86,18.0
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",84,18.5
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",751,22.4
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",73,30.3
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",55,28.2
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",37,34.4
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",67,60.0
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",10,49.3
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",10,49.3
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",57,63.2
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",57,63.2
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",794,54.6
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",27,39.6
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",52,38.5
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",38,32.1
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",899,31.7
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",181,29.6
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",159,25.2
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",718,32.6
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",701,32.3
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","2,330",41.3
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",218,24.5
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",532,40.2
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",475,42.0
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",222,28.5
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",48,33.3
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",37,30.7
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",174,28.2
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",171,28.6
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",826,15.9
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",37,20.2
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",121,30.2
CENSUS,2022,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",113,30.6
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",109,19.6
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",22,20.2
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",22,20.2
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",87,23.9
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",86,24.1
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",621,15.8
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",36,32.2
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",133,9.6
CENSUS,2022,YEAR,,STATE,CONNECTICUT,9.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",127,8.9
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",55,8.1
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",5,42.4
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",5,42.4
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",50,7.8
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",49,8.0
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",87,7.6
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",4,(L)
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",13,32.6
CENSUS,2022,YEAR,,STATE,DELAWARE,10.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",11,38.6
CENSUS,2022,YEAR,,STATE,FLORIDA,12.0,,,,,,,0,,VEGETABLE TOTALS,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN - OPERATIONS WITH SALES",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",493,23.6
